SUJETO;zona;P1V15Departamento;Sexo;P5V20Edad;EdadREC;P7V21Computadorafijaoport†tilenhogar;P8V22Hogarconexi¢nainternet;P9V23Hogarwifioconexi¢ninal†mbrica;P10V24Clavedeaccesocontrase§aenredwifi;P11V25Utiliz¢vezinternet;P12V26Motivosporlosquenoutilizainternet;usuariosREC;P13V28;P14V30Lugaresutiliz¢internet_M1;P14V30Lugaresutiliz¢internet_M2;P14V30Lugaresutiliz¢internet_M3;P14V30Lugaresutiliz¢internet_M4;P14V30Lugaresutiliz¢internet_M5;P14V30Lugaresutiliz¢internet_M6;P14V31gtOtroparaV30Lugaresutiliz¢internet;P15V33;P16V32Frecuenciaaccedeainternetdesdedecelular;usuarioCORREO;P18V34;P19V35Buscarinformaci¢nnoticias;P20V36Educaci¢nyaprendizaje;usuarioREDESSOCIALES;P21V37;P22V38Trabajar;P23V39Comprarvenderproductososervicios;P24V40;usuarioEBANKING;P25V41Pagosotransferenciasbancarias;P26V42Antivirusenpclaptop;P27V431Comoconsiguioelantivirus;P28V44Antivirusencelular;P29V45Tipodeinformaci¢nguardaencelular_M1;P29V45Tipodeinformaci¢nguardaencelular_M2;P29V45Tipodeinformaci¢nguardaencelular_M3;P29V45Tipodeinformaci¢nguardaencelular_M4;P29V45Tipodeinformaci¢nguardaencelular_M5;P30V46;P31V47;P34V48Satisfechooinsatisfechodir°aqueseencuentrarespectoalosserv;P35V49Pensandoenhacertr†mitesygestionesenunaoficinap£blica...pre;P36V50Conf°aeninternetcomomedioparahacertr†mitesanteoficinasp£bl;P37V51Intendenciaoempresap£blicaparabuscarinformaci¢n;P38V52Encontr¢lainformaci¢nquebuscaba;P39V53Conoceelsitiowebportaldelestadouruguayo;P40V54Conoceelsitiowebtramites.gub.uy;P41V55Quejasosugerencias;P42V56Tipoderespuestarecibi¢enla£ltimaoportunidadenqueenvi¢uncor;P43V58Leresolvieronlaconsultaoproblemaenesaoportunidad;P44V59Etc.encasodequeunciudadanocom£nquierasaberlo;P46V61Serviciosporinternetqueofreceelestadodemuybuenacalidad;P47V62Serviciosporinternetqueofreceelestadofuncionanentodomoment;P48V63Serviciosporinternetqueofreceelestadomuyf†cilesdeusar;P49V64Serviciosporinternetqueofreceelestadomepermitenahorrartiem;P50V65Informaci¢nquebrindaelestadoporinternetcorrectayprecisa;p46;p47;p48;p49;p50;P53V66Cu†ntaconfianzasetieneacercadecapacidadparausaruncajeroaut;P54V67Cu†ntaconfianzasetieneacercadecapacidadparahacertransaccio;P55V68;P57V69Firmarparallamadoaconsultapopular;P58V70Asistiramanifestaciones;P59V71Unirseahuelgas;P60V72Èltimosdocemeses;P62V73Debidoalacienciaylatecnolog°ahabr†m†soportunidadesparalapr;P63V74Dependemosdemasiadodelatecnolog°ayesonobueno;P65V76Correoelectr¢nico;P66V77Redessociales;P67V78Bancaelectr¢nica;P69V79Evitodivulgarinformaci¢npersonaleninternet;P70V80Creoquelosmenoresde18a§ospuedenusarinternets¢loconestricto;P71V81Sitioswebnomantienenmiinformaci¢npersonalsegura;P73V82SuNombre;P74V83SuDirecci¢n;P75V84Quienesamigos;P76V85Gustosyopiniones;P77V86Fotos;P78V87Sabesiexisteleyodecretoqueimpidaqueotraspersonasoempresasu;P79V88Havistouo°doalgosobredelitosquesecometeneninternet;P81V90Robodeidentidad;P82V91Mensajesdecorreoelectr¢nicodeextra§ospidiendodineroodatosp;P83V92Fraudeenl°neadondelosbienesadquiridosnofueronentregadosseg;P84V93Nosercapazdeaccederaserviciosenl°neaacausadeataquescibernÇ;P86V94Èltimoa§odeestudiosquecurs¢;EducativoREC;PonderaEDUC;P87V95Hijosmenoresde18a§osenhogar;P88V96TarjetadecrÇdito;VBP_1ID
AGESIC-1247;02;2;2;36;2;1;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;9;4;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;8;7;7;7;8;8;7;7;7;8;2;2;2;2;2;3;#≠NULO!;8;5;#≠NULO!;#≠NULO!;#≠NULO!;2;1;1;1;1;1;2;1;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;1;2;AGESIC-1247
AGESIC-1921;01;10;1;65;4;1;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;8;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;8;8;99;10;10;8;8;#≠NULO!;10;10;4;99;99;1;1;1;#≠NULO!;5;7;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;5;02;00.001;2;2;AGESIC-1921
AGESIC-1159;02;18;2;57;3;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;1;4;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;10;10;9;10;10;10;10;9;10;10;1;2;1;2;2;2;#≠NULO!;10;8;#≠NULO!;#≠NULO!;#≠NULO!;2;2;3;2;2;99;2;1;1;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;01;00.002;2;2;AGESIC-1159
AGESIC-7859;02;3;1;70;4;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;6;6;6;6;6;6;6;6;6;6;2;1;1;3;3;3;#≠NULO!;7;6;#≠NULO!;#≠NULO!;#≠NULO!;1;2;2;2;2;1;2;1;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;1;AGESIC-7859
AGESIC-1107;01;10;2;74;4;1;1;2;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;2;1;3;3;3;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;1;1;99;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;4;02;00.001;2;1;AGESIC-1107
AGESIC-1629;02;18;1;74;4;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;99;99;99;3;3;1;#≠NULO!;8;5;#≠NULO!;#≠NULO!;#≠NULO!;1;1;99;99;99;1;99;99;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;02;00.001;2;2;AGESIC-1629
AGESIC-6552;02;2;2;64;4;1;1;2;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;10;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;10;10;99;10;10;10;10;#≠NULO!;10;10;1;1;1;1;3;3;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;1;2;99;1;1;1;1;1;2;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;2;2;AGESIC-6552
AGESIC-1556;02;8;1;43;2;1;1;1;1;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;7;4;4;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;8;9;99;10;10;8;9;#≠NULO!;10;10;4;1;1;3;3;3;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;2;3;2;1;1;2;1;1;2;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;02;00.001;1;2;AGESIC-1556
AGESIC-3337;02;16;2;68;4;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;1;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;6;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;2;1;3;3;3;#≠NULO!;8;8;#≠NULO!;#≠NULO!;#≠NULO!;4;1;1;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;4;02;00.001;2;1;AGESIC-3337
AGESIC-2690;02;1;1;48;3;1;1;1;99;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;5;1;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;10;10;6;10;10;10;10;6;10;10;4;1;2;2;1;1;#≠NULO!;5;10;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;1;1;1;2;1;1;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;3;02;00.001;1;2;AGESIC-2690
AGESIC-2164;01;10;1;38;2;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;4;4;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;5;99;99;5;99;5;#≠NULO!;#≠NULO!;5;#≠NULO!;99;2;3;2;2;2;#≠NULO!;10;10;#≠NULO!;#≠NULO!;#≠NULO!;3;2;3;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;01;00.002;1;2;AGESIC-2164
AGESIC-5102;02;1;1;63;4;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;7;4;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;8;7;5;10;9;8;7;5;10;9;4;4;3;1;2;1;#≠NULO!;9;4;#≠NULO!;#≠NULO!;#≠NULO!;1;1;3;2;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;3;02;00.001;2;1;AGESIC-5102
AGESIC-2633;02;19;2;68;4;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;8;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;3;1;1;2;1;3;#≠NULO!;9;9;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;2;2;1;1;1;1;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;8;03;00.000;2;1;AGESIC-2633
AGESIC-3428;01;10;1;48;3;2;1;2;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;5;4;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;99;99;99;99;99;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;1;1;2;3;3;#≠NULO!;3;3;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;4;02;00.001;2;2;AGESIC-3428
AGESIC-5137;02;18;2;61;4;2;2;#≠NULO!;#≠NULO!;2;5;3;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;;2;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;1;4;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;#≠NULO!;3;8;#≠NULO!;#≠NULO!;#≠NULO!;1;1;1;1;1;1;1;1;2;1;#≠NULO!;#≠NULO!;#≠NULO!;#≠NULO!;3;02;00.001;2;2;AGESIC-5137
